epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.8329,0.97632,3.5884,0.88902,0.86151,0.3437,0.50261,0.42913,0.6893,2.50773,0.78741,0.00013787,0.00013787,0.00013787
2,112.145,0.63653,1.23445,0.8101,0.65851,0.67417,0.65389,0.58922,0.44863,0.76103,0.77108,0.000274129,0.000274129,0.000274129
3,161.808,0.52326,0.76839,0.80047,0.7457,0.79139,0.8018,0.71756,0.41544,0.61196,0.76749,0.000407636,0.000407636,0.000407636
4,211.182,0.49064,0.64618,0.7982,0.80942,0.89246,0.88983,0.81157,0.37896,0.52347,0.76303,0.000404615,0.000404615,0.000404615
5,261.832,0.4603,0.57564,0.79497,0.89591,0.92767,0.95305,0.88089,0.33918,0.45429,0.76545,0.000400487,0.000400487,0.000400487
6,310.368,0.43889,0.52658,0.79562,0.93768,0.95324,0.96729,0.89919,0.32139,0.40358,0.76996,0.000396358,0.000396358,0.000396358
7,358.689,0.42015,0.48413,0.79247,0.95566,0.96245,0.97606,0.9084,0.30889,0.37709,0.76948,0.00039223,0.00039223,0.00039223
8,406.794,0.41244,0.4576,0.79128,0.96796,0.97252,0.98142,0.90943,0.34532,0.36637,0.76986,0.000388102,0.000388102,0.000388102
9,455.474,0.42816,0.44934,0.792,0.96463,0.97624,0.98299,0.90789,0.33022,0.3528,0.77233,0.000383974,0.000383974,0.000383974
10,503.859,0.40541,0.42834,0.79025,0.97086,0.97378,0.98503,0.92181,0.29477,0.33427,0.76942,0.000379845,0.000379845,0.000379845
11,552.244,0.39125,0.41724,0.78954,0.97657,0.98088,0.98493,0.92416,0.2859,0.32669,0.7698,0.000375717,0.000375717,0.000375717
12,600.608,0.38358,0.40132,0.78967,0.98329,0.98072,0.98586,0.92946,0.28014,0.31089,0.77307,0.000371589,0.000371589,0.000371589
13,648.505,0.3727,0.38444,0.78986,0.97913,0.98598,0.98666,0.92815,0.27989,0.2999,0.77215,0.00036746,0.00036746,0.00036746
14,696.93,0.37383,0.37688,0.78962,0.98038,0.98763,0.98639,0.92861,0.29996,0.3107,0.76852,0.000363332,0.000363332,0.000363332
15,745.42,0.38248,0.37454,0.78862,0.98295,0.98921,0.98864,0.9336,0.27436,0.293,0.77094,0.000359204,0.000359204,0.000359204
16,793.879,0.37746,0.36495,0.78976,0.98026,0.98713,0.98701,0.92926,0.27933,0.29526,0.77127,0.000355076,0.000355076,0.000355076
17,842.281,0.35859,0.35699,0.78865,0.98033,0.99255,0.98786,0.93056,0.29665,0.29891,0.7691,0.000350947,0.000350947,0.000350947
18,890.641,0.36384,0.35416,0.78731,0.98129,0.98081,0.98867,0.93372,0.27941,0.28345,0.7705,0.000346819,0.000346819,0.000346819
19,939.045,0.35773,0.3492,0.78916,0.97998,0.98981,0.98669,0.93173,0.26578,0.28597,0.77245,0.000342691,0.000342691,0.000342691
20,988.121,0.35787,0.34355,0.78807,0.98398,0.98958,0.9867,0.93507,0.2571,0.27063,0.76929,0.000338562,0.000338562,0.000338562
21,1037.7,0.35241,0.33547,0.78691,0.98595,0.9851,0.98792,0.93584,0.25944,0.26395,0.77098,0.000334434,0.000334434,0.000334434
22,1086.39,0.34688,0.32917,0.78669,0.98291,0.9911,0.98573,0.93687,0.26358,0.26867,0.77115,0.000330306,0.000330306,0.000330306
23,1134.87,0.34709,0.32576,0.78583,0.9838,0.99227,0.98222,0.92667,0.27414,0.26795,0.77055,0.000326177,0.000326177,0.000326177
24,1183.4,0.34777,0.32546,0.78758,0.98856,0.98314,0.98694,0.93795,0.25988,0.25989,0.77253,0.000322049,0.000322049,0.000322049
25,1231.75,0.34351,0.32035,0.78523,0.98341,0.99273,0.98336,0.93135,0.25842,0.26012,0.76901,0.000317921,0.000317921,0.000317921
26,1280.07,0.33924,0.31426,0.78595,0.98359,0.98847,0.98423,0.9363,0.26235,0.25602,0.76968,0.000313792,0.000313792,0.000313792
27,1328.44,0.34911,0.31596,0.78612,0.98282,0.99196,0.98597,0.93553,0.26864,0.26075,0.76947,0.000309664,0.000309664,0.000309664
28,1377.31,0.33709,0.30807,0.78542,0.98576,0.9861,0.98616,0.93863,0.25974,0.25519,0.77043,0.000305536,0.000305536,0.000305536
29,1425.64,0.33901,0.30688,0.78535,0.98597,0.98844,0.9875,0.93696,0.25408,0.24814,0.7702,0.000301408,0.000301408,0.000301408
30,1474.18,0.33613,0.30579,0.78529,0.9849,0.98783,0.98747,0.93539,0.26163,0.24989,0.77203,0.000297279,0.000297279,0.000297279
31,1522.99,0.33423,0.30153,0.7842,0.98682,0.98966,0.98828,0.93798,0.25336,0.24785,0.77094,0.000293151,0.000293151,0.000293151
32,1571.52,0.34365,0.30285,0.78443,0.98548,0.99441,0.98506,0.93708,0.25186,0.24464,0.77197,0.000289023,0.000289023,0.000289023
33,1620.63,0.33167,0.29342,0.78416,0.98159,0.9924,0.98834,0.93853,0.25898,0.24275,0.76965,0.000284894,0.000284894,0.000284894
34,1669.34,0.3402,0.29385,0.78507,0.98556,0.99225,0.986,0.93755,0.2441,0.23556,0.76991,0.000280766,0.000280766,0.000280766
35,1717.89,0.3297,0.29069,0.78528,0.98545,0.99202,0.98856,0.93691,0.25696,0.24473,0.76982,0.000276638,0.000276638,0.000276638
36,1766.36,0.33391,0.28982,0.78614,0.99037,0.9875,0.98954,0.94057,0.25029,0.23789,0.77051,0.000272509,0.000272509,0.000272509
37,1815.6,0.32507,0.28297,0.7827,0.98609,0.99191,0.98654,0.93835,0.25186,0.2369,0.77048,0.000268381,0.000268381,0.000268381
38,1864.25,0.33344,0.31056,0.78672,0.97819,0.99416,0.9884,0.93832,0.25367,0.23815,0.77004,0.000264253,0.000264253,0.000264253
39,1913.17,0.32675,0.2833,0.78419,0.98504,0.99287,0.98728,0.93921,0.24838,0.23932,0.77028,0.000260125,0.000260125,0.000260125
40,1961.99,0.32741,0.27946,0.78466,0.98448,0.99183,0.98741,0.9396,0.24516,0.23133,0.76859,0.000255996,0.000255996,0.000255996
41,2010.74,0.31843,0.27508,0.78377,0.98099,0.9931,0.98823,0.93979,0.24883,0.23393,0.76925,0.000251868,0.000251868,0.000251868
42,2059.29,0.32566,0.27673,0.78464,0.98819,0.99289,0.98872,0.9386,0.24884,0.23281,0.76886,0.00024774,0.00024774,0.00024774
43,2107.82,0.32364,0.27286,0.78302,0.98296,0.99049,0.98734,0.93875,0.25458,0.2356,0.76873,0.000243611,0.000243611,0.000243611
44,2156.02,0.32154,0.272,0.78335,0.98812,0.99082,0.98674,0.93785,0.25708,0.23313,0.76894,0.000239483,0.000239483,0.000239483
45,2203.96,0.32397,0.27426,0.78447,0.98674,0.99342,0.98704,0.93736,0.25081,0.2302,0.77042,0.000235355,0.000235355,0.000235355
46,2253.11,0.31583,0.26882,0.78399,0.98619,0.99225,0.98778,0.93936,0.25023,0.22955,0.77153,0.000231226,0.000231226,0.000231226
47,2301.76,0.32145,0.27075,0.78324,0.98977,0.99257,0.98707,0.93973,0.24919,0.22637,0.76903,0.000227098,0.000227098,0.000227098
48,2350.37,0.3178,0.26555,0.78441,0.98543,0.99386,0.98752,0.94012,0.24338,0.22258,0.76989,0.00022297,0.00022297,0.00022297
49,2399.35,0.31918,0.26445,0.78366,0.98567,0.99266,0.98525,0.93994,0.24182,0.22065,0.77067,0.000218842,0.000218842,0.000218842
50,2447.9,0.31539,0.26023,0.78226,0.98633,0.99303,0.98532,0.93393,0.24836,0.21692,0.77131,0.000214713,0.000214713,0.000214713
51,2496.45,0.3127,0.26047,0.78224,0.98304,0.98965,0.98905,0.94127,0.24634,0.21929,0.77396,0.000210585,0.000210585,0.000210585
52,2545.12,0.31662,0.25901,0.78339,0.98505,0.99266,0.98635,0.93755,0.25664,0.222,0.77226,0.000206457,0.000206457,0.000206457
53,2593.87,0.31404,0.25557,0.78287,0.98342,0.99203,0.98628,0.93836,0.24763,0.21735,0.77188,0.000202328,0.000202328,0.000202328
54,2643.17,0.31438,0.25536,0.78279,0.98479,0.9936,0.98832,0.93903,0.24615,0.21549,0.77186,0.0001982,0.0001982,0.0001982
55,2691.85,0.31363,0.25442,0.78405,0.9856,0.99346,0.98859,0.93691,0.24895,0.21688,0.76989,0.000194072,0.000194072,0.000194072
56,2740.36,0.31073,0.25162,0.78298,0.98725,0.99352,0.98765,0.94022,0.24145,0.21004,0.77486,0.000189943,0.000189943,0.000189943
57,2788.96,0.30824,0.24988,0.78155,0.98636,0.99316,0.98618,0.93875,0.24528,0.2132,0.77524,0.000185815,0.000185815,0.000185815
58,2838.02,0.3107,0.24917,0.78221,0.98373,0.99228,0.98977,0.94258,0.24304,0.21183,0.77216,0.000181687,0.000181687,0.000181687
59,2886.93,0.30831,0.24831,0.78219,0.9895,0.98603,0.9887,0.94197,0.2407,0.20856,0.77217,0.000177559,0.000177559,0.000177559
60,2941.43,0.30803,0.24822,0.78344,0.98668,0.9936,0.98692,0.93929,0.24312,0.21008,0.77605,0.00017343,0.00017343,0.00017343
61,2995.33,0.30574,0.24666,0.78243,0.98434,0.9933,0.98698,0.94068,0.24397,0.21014,0.77596,0.000169302,0.000169302,0.000169302
62,3048.86,0.30789,0.24525,0.78253,0.98362,0.99346,0.98811,0.94039,0.23922,0.20862,0.7762,0.000165174,0.000165174,0.000165174
63,3102.66,0.30757,0.24528,0.78252,0.9832,0.99195,0.98994,0.93932,0.248,0.20741,0.77381,0.000161045,0.000161045,0.000161045
64,3157.06,0.30687,0.24232,0.78257,0.98296,0.9916,0.98932,0.94199,0.24562,0.20662,0.77613,0.000156917,0.000156917,0.000156917
65,3210.66,0.30265,0.23954,0.78214,0.98586,0.98968,0.99068,0.94401,0.24217,0.20444,0.77468,0.000152789,0.000152789,0.000152789
66,3264.22,0.30051,0.23986,0.78136,0.98594,0.98756,0.98989,0.94302,0.23912,0.20491,0.77312,0.00014866,0.00014866,0.00014866
67,3317.65,0.29864,0.23784,0.78143,0.98717,0.994,0.98781,0.93961,0.24511,0.20458,0.77532,0.000144532,0.000144532,0.000144532
68,3372.04,0.30484,0.23928,0.78056,0.98558,0.9915,0.98862,0.94136,0.23822,0.19873,0.77282,0.000140404,0.000140404,0.000140404
69,3426.48,0.30022,0.23793,0.78252,0.98558,0.99092,0.98939,0.94221,0.24124,0.20005,0.77618,0.000136276,0.000136276,0.000136276
70,3480.99,0.3043,0.23802,0.7845,0.99007,0.98821,0.99049,0.94376,0.24133,0.20201,0.77378,0.000132147,0.000132147,0.000132147
71,3535.23,0.29959,0.23721,0.78065,0.98894,0.99276,0.98964,0.94469,0.23763,0.19761,0.77556,0.000128019,0.000128019,0.000128019
