epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.7883,0.88069,4.17545,0.90472,0.10688,0.74845,0.47046,0.41372,0.5446,3.43435,0.79718,0.000127134,0.000127134,0.000127134
2,99.8693,0.62754,1.94028,0.82038,0.87937,0.91134,0.93204,0.85237,0.42195,0.84713,0.78673,0.000252938,0.000252938,0.000252938
3,140.708,0.53017,0.8922,0.81199,0.97717,0.95647,0.97489,0.90976,0.37466,0.52626,0.78434,0.000376201,0.000376201,0.000376201
4,179.552,0.46562,0.66234,0.80627,0.98691,0.97083,0.979,0.93043,0.32926,0.44147,0.77902,0.000373565,0.000373565,0.000373565
5,220.354,0.42851,0.55935,0.80303,0.99025,0.97834,0.98371,0.93075,0.33523,0.4116,0.77692,0.000369754,0.000369754,0.000369754
6,259.289,0.41013,0.50892,0.80127,0.99133,0.97906,0.98615,0.94883,0.29619,0.37365,0.77345,0.000365942,0.000365942,0.000365942
7,298.331,0.39175,0.46808,0.79852,0.99467,0.98081,0.98881,0.95341,0.2829,0.35387,0.77129,0.000362131,0.000362131,0.000362131
8,338.604,0.38764,0.44888,0.7977,0.9953,0.9823,0.99056,0.95311,0.29376,0.35235,0.77022,0.000358319,0.000358319,0.000358319
9,376.244,0.37396,0.42946,0.79511,0.99519,0.98411,0.99244,0.9614,0.26962,0.32425,0.76853,0.000354508,0.000354508,0.000354508
10,416.676,0.37484,0.42215,0.7956,0.99652,0.98562,0.99357,0.95135,0.29528,0.31943,0.76915,0.000350697,0.000350697,0.000350697
11,454.88,0.37278,0.40851,0.79421,0.99368,0.99146,0.99378,0.96484,0.26197,0.30188,0.76765,0.000346885,0.000346885,0.000346885
12,495.075,0.3611,0.39836,0.79343,0.99519,0.98973,0.99382,0.96501,0.25927,0.29744,0.76664,0.000343074,0.000343074,0.000343074
13,535.399,0.35011,0.38715,0.79264,0.99545,0.99069,0.99416,0.96251,0.26736,0.30273,0.76617,0.000339262,0.000339262,0.000339262
14,573.892,0.35299,0.38239,0.79183,0.99426,0.99498,0.99445,0.96155,0.26265,0.29617,0.766,0.00033545,0.00033545,0.00033545
15,614.091,0.34183,0.37158,0.78971,0.99405,0.99628,0.99446,0.96278,0.25988,0.28437,0.76583,0.000331639,0.000331639,0.000331639
