epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.3877,0.97803,1.6963,1.10492,0.99878,0.99934,0.995,0.8677,0.5397,0.66439,0.84279,0.000368603,0.000368603,0.000368603
2,147.453,0.56364,0.60387,0.88073,0.99872,1,0.995,0.90717,0.43393,0.41981,0.83283,0.000731621,0.000731621,0.000731621
3,211.591,0.52884,0.52451,0.87222,0.9993,1,0.995,0.90567,0.43148,0.38407,0.8275,0.00108731,0.00108731,0.00108731
4,275.998,0.50342,0.47647,0.86359,0.99915,1,0.995,0.91001,0.4089,0.34254,0.82147,0.001078,0.001078,0.001078
5,340.574,0.45962,0.42638,0.85435,0.99965,1,0.995,0.92549,0.36787,0.31809,0.81684,0.001067,0.001067,0.001067
6,405.258,0.45975,0.4053,0.85345,0.9998,1,0.995,0.9398,0.34919,0.29735,0.8119,0.00105601,0.00105601,0.00105601
7,468.079,0.44077,0.36939,0.84674,0.99933,1,0.99499,0.92813,0.37065,0.29877,0.81183,0.00104501,0.00104501,0.00104501
8,538.483,0.42514,0.34815,0.84293,0.99962,1,0.995,0.92535,0.37615,0.30852,0.81233,0.00103401,0.00103401,0.00103401
9,606.309,0.41513,0.33714,0.84512,0.99968,0.99992,0.995,0.94752,0.32236,0.26405,0.809,0.00102301,0.00102301,0.00102301
10,671.443,0.40733,0.32244,0.84193,0.99975,1,0.995,0.92904,0.35452,0.27881,0.81617,0.00101201,0.00101201,0.00101201
11,736.573,0.3939,0.31397,0.83788,0.99979,1,0.995,0.94603,0.32887,0.25348,0.80641,0.00100101,0.00100101,0.00100101
12,798.677,0.39883,0.30313,0.83971,0.9998,1,0.995,0.9471,0.31762,0.24685,0.80866,0.000990012,0.000990012,0.000990012
13,867.607,0.39587,0.29798,0.83815,0.99983,1,0.995,0.95534,0.30805,0.24387,0.80363,0.000979013,0.000979013,0.000979013
14,932.613,0.39089,0.2929,0.83795,0.99973,1,0.995,0.95669,0.29391,0.23869,0.80937,0.000968014,0.000968014,0.000968014
15,999.074,0.37734,0.28518,0.83576,0.99981,1,0.995,0.96231,0.28629,0.23187,0.80304,0.000957015,0.000957015,0.000957015
16,1065.39,0.37182,0.27634,0.8338,0.99975,1,0.995,0.96317,0.29188,0.22926,0.80673,0.000946016,0.000946016,0.000946016
17,1131.17,0.37258,0.27828,0.83344,0.99977,1,0.995,0.95763,0.2961,0.22801,0.80422,0.000935018,0.000935018,0.000935018
18,1195.32,0.37653,0.2722,0.83379,0.9998,1,0.995,0.96044,0.29133,0.22572,0.80522,0.000924019,0.000924019,0.000924019
19,1258.04,0.3646,0.26492,0.83273,0.99981,1,0.995,0.96448,0.27845,0.21863,0.8075,0.00091302,0.00091302,0.00091302
20,1320.56,0.35491,0.25931,0.83273,0.99964,0.9999,0.995,0.96049,0.28949,0.22,0.80479,0.000902021,0.000902021,0.000902021
21,1383.45,0.35931,0.25907,0.83073,0.99977,1,0.995,0.96106,0.28345,0.21485,0.80538,0.000891022,0.000891022,0.000891022
22,1447.14,0.35691,0.25959,0.83056,0.9998,1,0.995,0.96491,0.27937,0.21491,0.80226,0.000880023,0.000880023,0.000880023
23,1511.4,0.35094,0.25501,0.82985,0.99937,1,0.995,0.96416,0.28382,0.21543,0.80294,0.000869024,0.000869024,0.000869024
24,1576.06,0.34798,0.25129,0.83093,0.99976,1,0.995,0.96317,0.29081,0.21155,0.80575,0.000858025,0.000858025,0.000858025
25,1640.74,0.34489,0.24552,0.8293,0.99983,1,0.995,0.97039,0.25543,0.19732,0.8003,0.000847026,0.000847026,0.000847026
26,1704.67,0.34373,0.24419,0.8322,0.99983,1,0.995,0.96771,0.26772,0.20675,0.80158,0.000836027,0.000836027,0.000836027
27,1770.7,0.33751,0.24175,0.82995,0.99982,1,0.995,0.96841,0.26861,0.19704,0.80322,0.000825029,0.000825029,0.000825029
28,1834.59,0.33565,0.23997,0.82749,0.99983,1,0.995,0.97006,0.2628,0.19372,0.80114,0.00081403,0.00081403,0.00081403
29,1897.92,0.3343,0.23764,0.82736,0.99979,1,0.995,0.96547,0.2719,0.19431,0.80309,0.000803031,0.000803031,0.000803031
30,1961.06,0.3428,0.2395,0.82903,0.9998,1,0.995,0.9712,0.25462,0.19011,0.79877,0.000792032,0.000792032,0.000792032
31,2024.21,0.33582,0.2377,0.82647,0.99963,1,0.995,0.96533,0.27528,0.19888,0.80225,0.000781033,0.000781033,0.000781033
32,2088.5,0.3343,0.23373,0.82999,0.99977,1,0.995,0.96723,0.26636,0.19178,0.79995,0.000770034,0.000770034,0.000770034
33,2151.1,0.33114,0.23565,0.82973,0.99972,1,0.995,0.96937,0.25704,0.18663,0.80008,0.000759035,0.000759035,0.000759035
34,2213.6,0.32603,0.2289,0.82556,0.99976,1,0.995,0.9634,0.29419,0.20564,0.80362,0.000748036,0.000748036,0.000748036
35,2274.91,0.32985,0.2296,0.82711,0.9998,1,0.995,0.97024,0.25426,0.18488,0.80002,0.000737037,0.000737037,0.000737037
36,2337.02,0.3254,0.22795,0.82746,0.9998,1,0.995,0.97129,0.2619,0.19213,0.80202,0.000726038,0.000726038,0.000726038
37,2400.39,0.32525,0.22817,0.82642,0.99969,1,0.995,0.97012,0.26145,0.18787,0.80046,0.00071504,0.00071504,0.00071504
38,2463.76,0.31771,0.22438,0.82434,0.99982,1,0.995,0.97312,0.25009,0.18256,0.79925,0.000704041,0.000704041,0.000704041
39,2526.69,0.31708,0.21758,0.82461,0.99984,1,0.995,0.97175,0.24301,0.17877,0.79721,0.000693042,0.000693042,0.000693042
40,2590.38,0.31481,0.21867,0.82503,0.99976,1,0.995,0.96988,0.24866,0.18054,0.80013,0.000682043,0.000682043,0.000682043
41,2654.91,0.3163,0.22026,0.82351,0.99983,1,0.995,0.96903,0.25093,0.18319,0.79943,0.000671044,0.000671044,0.000671044
42,2720.11,0.31713,0.21973,0.82363,0.99979,1,0.995,0.97157,0.24538,0.17998,0.79835,0.000660045,0.000660045,0.000660045
43,2785.75,0.31757,0.21816,0.82475,0.99982,1,0.995,0.97417,0.24463,0.17286,0.79763,0.000649046,0.000649046,0.000649046
44,2851.49,0.31079,0.21671,0.82341,0.99973,1,0.995,0.97467,0.23691,0.16986,0.79754,0.000638047,0.000638047,0.000638047
45,2915.83,0.30494,0.21325,0.8225,0.99979,1,0.995,0.97326,0.23946,0.17274,0.79722,0.000627048,0.000627048,0.000627048
46,2980.42,0.30796,0.21184,0.82344,0.99968,1,0.995,0.97062,0.25164,0.17665,0.79983,0.000616049,0.000616049,0.000616049
47,3044.94,0.309,0.21265,0.82317,0.99967,1,0.995,0.97419,0.24303,0.17159,0.79798,0.000605051,0.000605051,0.000605051
48,3108.11,0.30943,0.2115,0.82553,0.99981,1,0.995,0.9739,0.24286,0.16934,0.79979,0.000594052,0.000594052,0.000594052
49,3173.06,0.30998,0.20944,0.82363,0.99979,1,0.995,0.97492,0.23449,0.16556,0.79833,0.000583053,0.000583053,0.000583053
