epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.4089,0.8612,4.11029,0.90409,0.82447,0.40749,0.54893,0.48491,0.55905,2.73767,0.81362,0.000114173,0.000114173,0.000114173
2,127.171,0.61933,1.62199,0.83111,0.84623,0.91792,0.9224,0.8364,0.42088,0.65375,0.80445,0.000226904,0.000226904,0.000226904
3,188.751,0.49883,0.78324,0.81585,0.94469,0.96281,0.96894,0.88934,0.3592,0.4822,0.79391,0.000337358,0.000337358,0.000337358
4,249.905,0.45863,0.62944,0.81179,0.96318,0.97425,0.98104,0.90467,0.33839,0.44036,0.79022,0.000334753,0.000334753,0.000334753
5,313.64,0.42674,0.54047,0.80799,0.98581,0.97797,0.98678,0.91706,0.32879,0.39391,0.78743,0.000331338,0.000331338,0.000331338
6,375.728,0.41596,0.49825,0.80641,0.98632,0.97888,0.98961,0.91585,0.31762,0.3803,0.78525,0.000327922,0.000327922,0.000327922
7,435.856,0.39794,0.46717,0.80394,0.98627,0.98254,0.99145,0.92113,0.3213,0.3643,0.78506,0.000324507,0.000324507,0.000324507
8,495.311,0.38656,0.44657,0.80179,0.98553,0.98367,0.99275,0.92924,0.30138,0.34833,0.78206,0.000321091,0.000321091,0.000321091
9,556.831,0.37986,0.43462,0.79932,0.9907,0.98332,0.99265,0.92949,0.30165,0.3365,0.78117,0.000317676,0.000317676,0.000317676
10,618.723,0.37376,0.41999,0.79917,0.98995,0.98816,0.99347,0.93375,0.28738,0.33307,0.77896,0.000314261,0.000314261,0.000314261
11,681.01,0.36422,0.40842,0.79787,0.98781,0.99037,0.99339,0.93625,0.27635,0.31573,0.77748,0.000310845,0.000310845,0.000310845
12,742.589,0.3587,0.39614,0.79706,0.988,0.99142,0.99364,0.9412,0.27379,0.30873,0.77638,0.000307429,0.000307429,0.000307429
13,806.522,0.36047,0.39499,0.79688,0.98909,0.99441,0.99406,0.94259,0.26983,0.30159,0.77545,0.000304014,0.000304014,0.000304014
14,872.409,0.35524,0.3865,0.797,0.99233,0.99274,0.99417,0.93708,0.27156,0.30107,0.776,0.000300598,0.000300598,0.000300598
15,933.02,0.3462,0.37749,0.79536,0.99221,0.99404,0.9942,0.93848,0.27882,0.29475,0.77562,0.000297183,0.000297183,0.000297183
16,992.724,0.34528,0.37313,0.79463,0.99065,0.99403,0.99447,0.94164,0.27045,0.28976,0.77393,0.000293768,0.000293768,0.000293768
17,1052.86,0.34281,0.36877,0.79319,0.99258,0.99317,0.99435,0.93755,0.27131,0.29167,0.7738,0.000290352,0.000290352,0.000290352
18,1113.6,0.3397,0.36024,0.79417,0.99312,0.99444,0.99448,0.93769,0.27467,0.29006,0.77461,0.000286936,0.000286936,0.000286936
19,1172.23,0.33548,0.3545,0.79379,0.99384,0.9945,0.99448,0.93685,0.2777,0.28305,0.77345,0.000283521,0.000283521,0.000283521
20,1232.29,0.3361,0.34927,0.79356,0.99208,0.99418,0.99446,0.94124,0.26544,0.27325,0.77288,0.000280106,0.000280106,0.000280106
21,1291.8,0.33283,0.34519,0.79365,0.99338,0.99423,0.99457,0.94288,0.26812,0.28059,0.77272,0.00027669,0.00027669,0.00027669
22,1350.93,0.32885,0.34296,0.79196,0.99394,0.99433,0.99446,0.93886,0.26739,0.27171,0.7723,0.000273275,0.000273275,0.000273275
