epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.9907,0.99109,3.52257,0.90292,0.81481,0.42383,0.50475,0.43836,0.64103,1.99138,0.79464,0.000138,0.000138,0.000138
2,100.576,0.63815,1.13795,0.82042,0.68396,0.67728,0.66178,0.58326,0.50026,0.71476,0.78424,0.000275629,0.000275629,0.000275629
3,146.445,0.53787,0.75705,0.80834,0.75907,0.76541,0.78662,0.70845,0.4138,0.57188,0.77317,0.000411882,0.000411882,0.000411882
4,192.464,0.50876,0.65357,0.80681,0.80937,0.90133,0.87263,0.79886,0.37552,0.5059,0.77199,0.000410808,0.000410808,0.000410808
5,239.739,0.4717,0.57749,0.80376,0.87247,0.94703,0.93148,0.8525,0.35708,0.44751,0.77356,0.000408743,0.000408743,0.000408743
6,287.051,0.45247,0.5222,0.80118,0.93074,0.96241,0.95434,0.87565,0.3578,0.40177,0.77645,0.000406679,0.000406679,0.000406679
7,335.648,0.44063,0.49317,0.80047,0.91421,0.95664,0.96052,0.87246,0.38376,0.39865,0.77551,0.000404615,0.000404615,0.000404615
8,382.851,0.4289,0.46804,0.79967,0.95128,0.97823,0.96445,0.88973,0.35042,0.36645,0.77733,0.000402551,0.000402551,0.000402551
9,430.185,0.42643,0.45338,0.79968,0.95449,0.97972,0.96814,0.89381,0.34215,0.35141,0.77877,0.000400487,0.000400487,0.000400487
10,477.387,0.41299,0.43309,0.79784,0.95528,0.98213,0.96828,0.89999,0.32003,0.3429,0.77606,0.000398423,0.000398423,0.000398423
11,522.577,0.40781,0.42158,0.79776,0.96402,0.97681,0.97073,0.89747,0.33333,0.33271,0.77538,0.000396358,0.000396358,0.000396358
12,568.826,0.40745,0.4109,0.79626,0.96093,0.9863,0.9701,0.90421,0.31309,0.32525,0.77412,0.000394294,0.000394294,0.000394294
13,614.34,0.39527,0.40011,0.79561,0.97181,0.9753,0.97885,0.90441,0.34907,0.32819,0.77597,0.00039223,0.00039223,0.00039223
14,659.978,0.39484,0.39108,0.79463,0.96285,0.97252,0.9796,0.91394,0.32384,0.31788,0.77554,0.000390166,0.000390166,0.000390166
15,707.951,0.38948,0.38515,0.79693,0.96576,0.98325,0.98183,0.91736,0.31543,0.30781,0.77726,0.000388102,0.000388102,0.000388102
16,754.8,0.3913,0.37863,0.79492,0.96437,0.97245,0.98257,0.91878,0.30806,0.30544,0.77574,0.000386038,0.000386038,0.000386038
17,802.481,0.39512,0.37396,0.79441,0.98432,0.97462,0.98609,0.92503,0.29474,0.30151,0.77338,0.000383974,0.000383974,0.000383974
18,848.866,0.38149,0.36784,0.79457,0.97621,0.9789,0.9859,0.92496,0.29807,0.30372,0.77547,0.000381909,0.000381909,0.000381909
19,894.29,0.3769,0.3619,0.79372,0.96952,0.97087,0.98316,0.91431,0.31456,0.29915,0.77624,0.000379845,0.000379845,0.000379845
20,941.435,0.38415,0.35586,0.79442,0.97578,0.97482,0.98362,0.92077,0.29783,0.29652,0.77613,0.000377781,0.000377781,0.000377781
21,985.781,0.37404,0.34966,0.79297,0.97467,0.98253,0.986,0.92415,0.30168,0.28721,0.77765,0.000375717,0.000375717,0.000375717
22,1029.52,0.37421,0.34817,0.79219,0.97738,0.97929,0.98652,0.92309,0.30253,0.28355,0.77733,0.000373653,0.000373653,0.000373653
23,1072.37,0.36979,0.34003,0.79292,0.9752,0.98061,0.98467,0.92511,0.29066,0.27528,0.77764,0.000371589,0.000371589,0.000371589
24,6349.26,0.36894,0.3363,0.79282,0.97851,0.97961,0.98841,0.9286,0.29322,0.2759,0.77615,0.000369525,0.000369525,0.000369525
25,6370.66,0.36416,0.33328,0.7926,0.97519,0.97453,0.98651,0.92648,0.29634,0.28073,0.7753,0.00036746,0.00036746,0.00036746
26,6391.6,0.36767,0.33033,0.79261,0.97529,0.97541,0.98582,0.92437,0.29851,0.27144,0.77532,0.000365396,0.000365396,0.000365396
27,6414.23,0.36266,0.32577,0.79055,0.98312,0.97521,0.98347,0.92504,0.29027,0.26751,0.77601,0.000363332,0.000363332,0.000363332
28,6436.49,0.36152,0.32293,0.79173,0.9756,0.98047,0.98542,0.92701,0.29046,0.27029,0.77733,0.000361268,0.000361268,0.000361268
29,6459.04,0.35819,0.318,0.79264,0.98207,0.97948,0.98667,0.92677,0.29527,0.26865,0.77846,0.000359204,0.000359204,0.000359204
30,6481.86,0.35764,0.31588,0.79172,0.98629,0.96482,0.9835,0.92029,0.30326,0.27271,0.77801,0.00035714,0.00035714,0.00035714
31,6503.97,0.36565,0.31406,0.79258,0.98723,0.96605,0.98334,0.92702,0.28535,0.26223,0.77452,0.000355076,0.000355076,0.000355076
32,6526.63,0.3576,0.30848,0.79147,0.98148,0.97211,0.98397,0.92448,0.29115,0.25956,0.77852,0.000353011,0.000353011,0.000353011
33,6549.09,0.35545,0.3053,0.79062,0.97363,0.97497,0.9826,0.92643,0.29502,0.26048,0.77724,0.000350947,0.000350947,0.000350947
34,6571.73,0.35581,0.30673,0.79146,0.96991,0.98011,0.98514,0.92413,0.29484,0.25882,0.77928,0.000348883,0.000348883,0.000348883
35,6594.27,0.35108,0.30103,0.79104,0.9701,0.98996,0.98518,0.92883,0.28942,0.25164,0.77668,0.000346819,0.000346819,0.000346819
36,6616.55,0.35085,0.29737,0.79091,0.98719,0.96253,0.98556,0.92827,0.28542,0.2523,0.77568,0.000344755,0.000344755,0.000344755
37,6638.73,0.35337,0.2982,0.79068,0.98836,0.96588,0.98713,0.9243,0.29444,0.25424,0.7778,0.000342691,0.000342691,0.000342691
38,6661.01,0.35112,0.29513,0.79065,0.98176,0.98295,0.98629,0.92877,0.28042,0.24837,0.77986,0.000340626,0.000340626,0.000340626
39,6683.27,0.34729,0.28957,0.79048,0.97584,0.98315,0.9841,0.92586,0.28364,0.246,0.77835,0.000338562,0.000338562,0.000338562
40,6706.57,0.34516,0.28893,0.7908,0.97493,0.98358,0.98763,0.92951,0.28558,0.24633,0.77935,0.000336498,0.000336498,0.000336498
41,6728.88,0.34872,0.28898,0.79047,0.98616,0.96647,0.98627,0.92918,0.28019,0.24201,0.778,0.000334434,0.000334434,0.000334434
42,6751.6,0.34518,0.28581,0.79068,0.97024,0.98401,0.98661,0.93106,0.2839,0.24678,0.78056,0.00033237,0.00033237,0.00033237
43,6773.97,0.34199,0.28403,0.78923,0.96693,0.98704,0.98399,0.92938,0.27668,0.2418,0.77797,0.000330306,0.000330306,0.000330306
44,6796.13,0.34477,0.28189,0.7904,0.98684,0.96568,0.98303,0.92653,0.28029,0.24336,0.77851,0.000328242,0.000328242,0.000328242
45,6818.56,0.34029,0.27824,0.78915,0.9877,0.96137,0.98312,0.9265,0.28178,0.23931,0.77923,0.000326177,0.000326177,0.000326177
